Name,Age,Gender,Block,Set,Mode,Trial,TargetSize,Distance,TimeTaken_ms,Error,ClickX,ClickY,Sound,BgMode
god father,20,Male,1,1,Mouse,1,30,457,997,0,374,592,On,Dark
god father,20,Male,1,1,Mouse,2,60,539,886,0,822,293,On,Dark
god father,20,Male,1,1,Mouse,3,40,523,975,0,376,567,On,Dark
god father,20,Male,1,1,Mouse,4,50,418,682,0,566,195,On,Dark
god father,20,Male,1,1,Mouse,5,80,362,803,0,206,236,On,Dark
god father,20,Male,1,1,Mouse,6,30,1048,1118,0,1251,312,On,Dark
god father,20,Male,1,1,Mouse,7,60,959,659,0,292,321,On,Dark
god father,20,Male,1,1,Mouse,8,40,215,885,0,382,516,On,Dark
god father,20,Male,1,1,Mouse,9,50,218,644,0,599,532,On,Dark
god father,20,Male,1,1,Mouse,10,80,389,1186,1,322,259,On,Dark
god father,20,Male,1,1,Mouse,11,30,431,967,0,746,180,On,Dark
god father,20,Male,1,2,Mouse,1,30,126,3097,0,858,237,Off,Light
god father,20,Male,1,2,Mouse,2,60,302,585,0,685,485,Off,Light
god father,20,Male,1,2,Mouse,3,40,480,885,0,209,422,Off,Light
god father,20,Male,1,2,Mouse,4,50,370,623,0,552,282,Off,Light
god father,20,Male,1,2,Mouse,5,80,199,629,0,696,420,Off,Light
god father,20,Male,1,2,Mouse,6,30,182,977,0,632,590,Off,Light
god father,20,Male,1,2,Mouse,7,60,479,772,0,701,116,Off,Light
god father,20,Male,1,2,Mouse,8,40,272,1103,0,965,182,Off,Light
god father,20,Male,1,2,Mouse,9,50,579,824,0,466,475,Off,Light
god father,20,Male,1,2,Mouse,10,80,953,1087,0,1418,517,Off,Light
god father,20,Male,1,2,Mouse,11,30,634,1066,0,820,305,Off,Light
god father,20,Male,1,3,Mouse,1,30,241,998,0,1060,281,Off,Dark
god father,20,Male,1,3,Mouse,2,60,162,600,0,1219,251,Off,Dark
god father,20,Male,1,3,Mouse,3,40,289,766,0,1020,460,Off,Dark
god father,20,Male,1,3,Mouse,4,50,217,509,0,810,404,Off,Dark
god father,20,Male,1,3,Mouse,5,80,521,660,0,1287,195,Off,Dark
god father,20,Male,1,3,Mouse,6,30,453,870,0,836,148,Off,Dark
god father,20,Male,1,3,Mouse,7,60,178,532,0,798,322,Off,Dark
god father,20,Male,1,3,Mouse,8,40,278,653,0,555,458,Off,Dark
god father,20,Male,1,3,Mouse,9,50,265,825,0,291,438,Off,Dark
god father,20,Male,1,3,Mouse,10,80,1038,765,0,1323,326,Off,Dark
god father,20,Male,1,3,Mouse,11,30,885,983,0,475,578,Off,Dark
